category;no;indicator_code;criteria;answer;max_score;calculated_score;evidence_required;colored
Governance and Digitalization (GD);7.2;N/A;University budget for sustainability effort (in US Dollars);Provide number;N/A;N/A;Yes;N/A
Governance and Digitalization (GD);7.3;GD1;Percentage of university budget for sustainability efforts;[1] ? 1%;200;0.05x200;No;N/A
Governance and Digitalization (GD);7.3;GD1;Percentage of university budget for sustainability efforts;[2] > 1 - 5%;200;0.25x200;No;N/A
Governance and Digitalization (GD);7.3;GD1;Percentage of university budget for sustainability efforts;[3] > 5 - 10%;200;0.50x200;No;N/A
Governance and Digitalization (GD);7.3;GD1;Percentage of university budget for sustainability efforts;[4] > 10 - 15%;200;0.75x200;No;N/A
Governance and Digitalization (GD);7.3;GD1;Percentage of university budget for sustainability efforts;[5] > 15%;200;1.00x200;No;N/A
Governance and Digitalization (GD);7.4;GD2;University-run sustainability website;[1] Not available;200;0x200;No;N/A
Governance and Digitalization (GD);7.4;GD2;University-run sustainability website;[2] Website in progress or under construction;200;0.25x200;No;N/A
Governance and Digitalization (GD);7.4;GD2;University-run sustainability website;[3] Website is available and accessible;200;0.50x200;No;N/A
Governance and Digitalization (GD);7.4;GD2;University-run sustainability website;[4] Website is available, accessible, and updated occasionally;200;0.75x200;No;N/A
Governance and Digitalization (GD);7.4;GD2;University-run sustainability website;[5] Website is available, accessible, and updated regularly;200;1.00x200;No;N/A
Governance and Digitalization (GD);7.5;N/A;Sustainability website address (URL) if available;Provide website address (URL);N/A;N/A;No;N/A
Governance and Digitalization (GD);7.6;GD3;Sustainability report;[1] Not available;100;0x100;Yes;N/A
Governance and Digitalization (GD);7.6;GD3;Sustainability report;[2] Sustainability report is in preparation;100;0.25x100;Yes;N/A
Governance and Digitalization (GD);7.6;GD3;Sustainability report;[3] Available but not publicly accessible;100;0.50x100;Yes;N/A
Governance and Digitalization (GD);7.6;GD3;Sustainability report;[4] Sustainability report is accessible and published occasionally;100;0.75x100;Yes;N/A
Governance and Digitalization (GD);7.6;GD3;Sustainability report;[5] Sustainability report is accessible and published annually;100;1.00x100;Yes;N/A
Governance and Digitalization (GD);7.7;N/A;Sustainability report link address (URL) if available;Provide website address (URL);N/A;N/A;No;N/A
Governance and Digitalization (GD);7.8;GD4;Financial report;[1] Not available;100;0x100;No;light green
Governance and Digitalization (GD);7.8;GD4;Financial report;[2] Financial report is in preparation;100;0.25x100;No;light green
Governance and Digitalization (GD);7.8;GD4;Financial report;[3] Available but not publicly accessible;100;0.50x100;No;light green
Governance and Digitalization (GD);7.8;GD4;Financial report;[4] Financial report is accessible and published occasionally;100;0.75x100;No;light green
Governance and Digitalization (GD);7.8;GD4;Financial report;[5] Financial report is accessible and published annually;100;1.00x100;No;light green
Governance and Digitalization (GD);7.9;N/A;Financial report link address (URL) if available;Provide website address (URL);N/A;N/A;No;N/A
Governance and Digitalization (GD);7.10;GD5;Availability of unit or office that coordinate sustainability on campus;[1] Ad-hoc / task force;100;0x100;Yes;N/A
Governance and Digitalization (GD);7.10;GD5;Availability of unit or office that coordinate sustainability on campus;[2] Unit or office in development;100;0.25x100;Yes;N/A
Governance and Digitalization (GD);7.10;GD5;Availability of unit or office that coordinate sustainability on campus;[3] Unit or office with university leader decree of establishment, structure and duties at early stage;100;0.50x100;Yes;N/A
Governance and Digitalization (GD);7.10;GD5;Availability of unit or office that coordinate sustainability on campus;[4] Unit or office with university leader decree of establishment, structure and duties has been operational;100;0.75x100;Yes;N/A
Governance and Digitalization (GD);7.10;GD5;Availability of unit or office that coordinate sustainability on campus;[5] Unit or office with university leader decree of establishment, structure and duties has been operational and lead the university implementation of sustainability;100;1.00x100;Yes;N/A
Governance and Digitalization (GD);7.11;N/A;Number of dedicated staff members assigned to the unit or office responsible for coordinating sustainability initiatives on campus;Provide number;N/A;N/A;No;N/A
Governance and Digitalization (GD);7.12;GD6;Use of ICT for sustainability program planning, implementation, monitoring and evaluation;[1] None;50;0x50;Yes;light green
Governance and Digitalization (GD);7.12;GD6;Use of ICT for sustainability program planning, implementation, monitoring and evaluation;[2] Planning Stage;50;0.25x50;Yes;light green
Governance and Digitalization (GD);7.12;GD6;Use of ICT for sustainability program planning, implementation, monitoring and evaluation;[3] Implemented;50;0.50x50;Yes;light green
Governance and Digitalization (GD);7.12;GD6;Use of ICT for sustainability program planning, implementation, monitoring and evaluation;[4] Implemented and evaluated;50;0.75x50;Yes;light green
Governance and Digitalization (GD);7.12;GD6;Use of ICT for sustainability program planning, implementation, monitoring and evaluation;[5] Implemented, evaluated, and currently being revised/improved;50;1.00x50;Yes;light green
Governance and Digitalization (GD);7.13;GD7;Policy of advanced digital technologies usage, such as Artificial Intelligence and Internet of Things, to support decision-making, operational efficiency, and service delivery across university administrative and academic business processes.;[1] No policy;50;0x50;Yes;light green
Governance and Digitalization (GD);7.13;GD7;Policy of advanced digital technologies usage, such as Artificial Intelligence and Internet of Things, to support decision-making, operational efficiency, and service delivery across university administrative and academic business processes.;[2] Initial adoption of policy. Limited policy implementation in specific units.;50;0.25x50;Yes;light green
Governance and Digitalization (GD);7.13;GD7;Policy of advanced digital technologies usage, such as Artificial Intelligence and Internet of Things, to support decision-making, operational efficiency, and service delivery across university administrative and academic business processes.;[3] Partial implementation. Policy is used in several administrative or academic processes but are not integrated institution-wide.;50;0.50x50;Yes;light green
Governance and Digitalization (GD);7.13;GD7;Policy of advanced digital technologies usage, such as Artificial Intelligence and Internet of Things, to support decision-making, operational efficiency, and service delivery across university administrative and academic business processes.;[4] Broad implementation. Policy is integrated across multiple administrative and academic functions and support routine decision-making and service delivery.;50;0.75x50;Yes;light green
Governance and Digitalization (GD);7.13;GD7;Policy of advanced digital technologies usage, such as Artificial Intelligence and Internet of Things, to support decision-making, operational efficiency, and service delivery across university administrative and academic business processes.;[5] Advanced and integrated implementation. Policy implemented institution-wide, systematically support strategic decision making, operational optimization, and service delivery, and are continuously evaluated and improved.;50;1.00x50;Yes;light green
Governance and Digitalization (GD);7.14;N/A;Compliance with the General Data Protection Regulation (GDPR) or Equivalent National Data Protection Regulations;[1] No data protection policy or mechanism is in place.;N/A;N/A;Yes;N/A
Governance and Digitalization (GD);7.14;N/A;Compliance with the General Data Protection Regulation (GDPR) or Equivalent National Data Protection Regulations;[2] Compliance framework is in preparation, including draft policies or procedures.;N/A;N/A;Yes;N/A
Governance and Digitalization (GD);7.14;N/A;Compliance with the General Data Protection Regulation (GDPR) or Equivalent National Data Protection Regulations;[3] Compliance is partially implemented, with policies in place but limited enforcement or coverage.;N/A;N/A;Yes;N/A
Governance and Digitalization (GD);7.14;N/A;Compliance with the General Data Protection Regulation (GDPR) or Equivalent National Data Protection Regulations;[4] Compliance is fully implemented, monitored, and applied across most university units and digital systems.;N/A;N/A;Yes;N/A
Governance and Digitalization (GD);7.14;N/A;Compliance with the General Data Protection Regulation (GDPR) or Equivalent National Data Protection Regulations;[5] Compliance is fully implemented, regularly audited, continuously improved, and transparently communicated to stakeholders.;N/A;N/A;Yes;N/A
Governance and Digitalization (GD);7.15;N/A;Total Number of Institutional Leaders and Deputy Leaders at University, Faculty, Study Program, and University-Level Units;Provide number;N/A;N/A;No;N/A
Governance and Digitalization (GD);7.16;N/A;Number of Female Representation on Leadership Position at University, Faculty, Study Program, and University-Level Units;Provide number;N/A;N/A;No;N/A
Governance and Digitalization (GD);7.17;GD8;Ratio of Female Leaders to Total Institutional Leaders;[1] ? 5%;100;0x100;Yes;light green
Governance and Digitalization (GD);7.17;GD8;Ratio of Female Leaders to Total Institutional Leaders;[2] > 5 - 20%;100;0.25x100;Yes;light green
Governance and Digitalization (GD);7.17;GD8;Ratio of Female Leaders to Total Institutional Leaders;[3] > 20 - 35%;100;0.50x100;Yes;light green
Governance and Digitalization (GD);7.17;GD8;Ratio of Female Leaders to Total Institutional Leaders;[4] > 35 - 50%;100;0.75x100;Yes;light green
Governance and Digitalization (GD);7.17;GD8;Ratio of Female Leaders to Total Institutional Leaders;[5] > 50%;100;1.00x100;Yes;light green
Governance and Digitalization (GD);7.18;GD9;Anti-Corruption and Integrity System of the University;[1] None;50;0x50;Yes;light green
Governance and Digitalization (GD);7.18;GD9;Anti-Corruption and Integrity System of the University;[2] The anti-corruption and integrity system is currently in the planning stage;50;0.25x50;Yes;light green
Governance and Digitalization (GD);7.18;GD9;Anti-Corruption and Integrity System of the University;[3] The anti-corruption and integrity system has been implemented;50;0.50x50;Yes;light green
Governance and Digitalization (GD);7.18;GD9;Anti-Corruption and Integrity System of the University;[4] The anti-corruption and integrity system has been implemented and evaluated;50;0.75x50;Yes;light green
Governance and Digitalization (GD);7.18;GD9;Anti-Corruption and Integrity System of the University;[5] The anti-corruption and integrity system has been implemented, evaluated, and is currently revised;50;1.00x50;Yes;light green
Governance and Digitalization (GD);7.19;GD10;Whistle Blowing and Complaint System of the University;[1] None;50;0x50;Yes;light green
Governance and Digitalization (GD);7.19;GD10;Whistle Blowing and Complaint System of the University;[2] Whistle blowing and complaint system is currently in the planning stage;50;0.25x50;Yes;light green
Governance and Digitalization (GD);7.19;GD10;Whistle Blowing and Complaint System of the University;[3] Whistle blowing and complaint system has been implemented;50;0.50x50;Yes;light green
Governance and Digitalization (GD);7.19;GD10;Whistle Blowing and Complaint System of the University;[4] Whistle blowing and complaint system has been implemented and evaluated;50;0.75x50;Yes;light green
Governance and Digitalization (GD);7.19;GD10;Whistle Blowing and Complaint System of the University;[5] Whistle blowing and complaint system has been implemented, evaluated, and is currently revised;50;1.00x50;Yes;light green
Governance and Digitalization (GD);7.20;GD11;LMS-Enabled Digital Literacy Program for Students and Staff;[1] None;50;0x50;Yes;light green
Governance and Digitalization (GD);7.20;GD11;LMS-Enabled Digital Literacy Program for Students and Staff;[2] The program is currently in the planning stage;50;0.25x50;Yes;light green
Governance and Digitalization (GD);7.20;GD11;LMS-Enabled Digital Literacy Program for Students and Staff;[3] Program has been implemented;50;0.50x50;Yes;light green
Governance and Digitalization (GD);7.20;GD11;LMS-Enabled Digital Literacy Program for Students and Staff;[4] Program has been implemented and evaluated;50;0.75x50;Yes;light green
Governance and Digitalization (GD);7.20;GD11;LMS-Enabled Digital Literacy Program for Students and Staff;[5] Program has been implemented, evaluated, and is currently revised;50;1.00x50;Yes;light green
Governance and Digitalization (GD);7.21;GD12;Written Code of Ethics that applies to university leaders, academic staff, administrative staff, and students;[1] No written Code of Ethics is available.;50;0x50;Yes;light green
Governance and Digitalization (GD);7.21;GD12;Written Code of Ethics that applies to university leaders, academic staff, administrative staff, and students;[2] A Code of Ethics is in preparation or draft form.;50;0.25x50;Yes;light green
Governance and Digitalization (GD);7.21;GD12;Written Code of Ethics that applies to university leaders, academic staff, administrative staff, and students;[3] A written Code of Ethics is formally established but applies only to certain groups or is not consistently enforced.;50;0.50x50;Yes;light green
Governance and Digitalization (GD);7.21;GD12;Written Code of Ethics that applies to university leaders, academic staff, administrative staff, and students;[4] A written Code of Ethics applies to all groups and is implemented and monitored.;50;0.75x50;Yes;light green
Governance and Digitalization (GD);7.21;GD12;Written Code of Ethics that applies to university leaders, academic staff, administrative staff, and students;[5] A written Code of Ethics applies to all groups, is fully implemented, regularly reviewed, and actively enforced through institutional mechanisms.;50;1.00x50;Yes;light green
